Location,Year,Calculated_Population,Renewable_Share,Energy_Generation,Tourism_Aggregated_Arrivals,Log_Population,Log_Energy,Log_Tourism,Tourism_Per_Capita,Energy_Per_Capita,Total_Human_Load,Log_Human_Load,Log_Energy_Per_Capita,Cluster
Fiji,2010,890510,27.95,957.8,692000,5.949638800745286,2.981274832706589,5.8401060944567575,0.7770827952521588,0.0010755634411741,1582510,6.199346463037638,-2.9683639680386973,1
Fiji,2011,893003,33.38,931.2,734000,5.950852917882116,2.969042967305813,5.86569605991607,0.8219457269460461,0.0010427736524961,1627003,6.211388353724963,-2.9818099505763023,1
Fiji,2012,894878,33.26,920.7,741000,5.951763831362487,2.964118143151485,5.869818207979328,0.8280458341807486,0.0010288553300002,1635878,6.213750911864367,-2.987645688211002,1
Fiji,2013,896310,32.81,969.3,768500,5.952458241810283,2.9864582127373067,5.885643871835764,0.8574042462987136,0.0010814338789035,1664810,6.221364675884359,-2.9660000290729767,1
Fiji,2014,897475,33.17,995.0,780600,5.953022359742539,2.9978230807457256,5.89242854694523,0.8697735312961364,0.0011086659795537,1678075,6.224811367314041,-2.9551992789968127,1
Fiji,2015,898463,28.55,1019.3,869000,5.953500196941158,3.0083020242120013,5.939019776448666,0.9672073307414996,0.0011344930175199,1767463,6.247350331060721,-2.945198172729156,1
Fiji,2016,899002,24.64,1030.5,963000,5.953760657904527,3.013047996115232,5.983626287124535,1.0711878282806937,0.0011462710872723,1862002,6.269980143126794,-2.940712661789296,1
Fiji,2017,898642,26.03,1112.6,1027000,5.95358671243415,3.0463390556048093,6.011570443597278,1.142835522933493,0.0012380903630144,1925642,6.284575549727152,-2.907247656829341,1
Fiji,2018,897114,24.41,1140.3,1058000,5.952847634153468,3.0570191243227662,6.024485667699167,1.1793372971550995,0.0012710759167731,1955114,6.291172085582265,-2.895828509830702,1
Fiji,2019,894872,24.78,1227.8,969000,5.951760919484413,3.0891276290442784,5.986323777050766,1.082836428003111,0.0013720398001054,1863872,6.270416084196916,-2.8626332904401344,1
Fiji,2020,894961,25.03,1141.9,168200,5.951804110339562,3.0576280729555685,5.225825991461893,0.1879411505082344,0.0012759215206025,1063161,6.026599036975825,-2.8941760373839927,1
French Polynesia,2000,240155,8.48,536.1,252000,5.380491633031214,2.7292458072253067,5.401400540781544,1.0493223126730653,0.002232308300889,492155,5.692101901635936,-2.6512458258059075,3
French Polynesia,2001,243901,6.37,566.9,228000,5.387213580935263,2.75350645699097,5.357934847000454,0.9348055153525404,0.0023243037133919,471901,5.673850897652383,-2.6337071239442924,3
French Polynesia,2002,247584,5.87,590.7,189000,5.393722575177506,2.771366970857781,5.276461804173244,0.7633772780147344,0.0023858569212873,436584,5.640067815571385,-2.622355604319725,3
French Polynesia,2003,251446,6.79,617.2,213000,5.400444731260405,2.7904259173911106,5.328379603438738,0.8471003714515244,0.0024546025786848,464446,5.666935226908095,-2.610018813869295,3
French Polynesia,2004,255444,7.54,646.7,212000,5.407295706206014,2.8107028609471167,5.326335860928752,0.8299274987864268,0.0025316703465338,467444,5.669729589651892,-2.596592845258897,3
French Polynesia,2005,259276,7.58,660.7,208000,5.413762317965037,2.820004306808318,5.318063334962762,0.8022339128959102,0.0025482497415881,467276,5.669573475577634,-2.593758011156719,3
French Polynesia,2006,262984,9.49,667.0,222000,5.419929326728972,2.824125833916549,5.346352974450639,0.8441578194871171,0.0025362759711617,484984,5.685727411125293,-2.595803492812423,3
French Polynesia,2007,266192,9.21,694.5,243000,5.425194999267646,2.841672250073634,5.385606273598312,0.9128749173528882,0.0026090190539159,509192,5.706881571762552,-2.583522749194012,3
French Polynesia,2008,268135,8.78,692.1,227000,5.428353506689951,2.840168849240756,5.3560258571931225,0.8465884722248121,0.0025811624741268,495135,5.694723626734668,-2.588184657449195,3
French Polynesia,2009,269234,8.76,711.5,190000,5.430129903545953,2.8521749044203037,5.278753600952829,0.7057058172444788,0.0026426825735234,459234,5.6620340341498485,-2.5779549991256494,3
French Polynesia,2010,270338,7.37,706.7,179000,5.4319070964955225,2.849235091314722,5.252853030979893,0.6621340692022579,0.0026141348977946,449338,5.652573147933032,-2.5826720051808003,3
