Location,Year,Calculated_Population,Renewable_Share,Energy_Generation,Tourism_Aggregated_Arrivals,Log_Population,Log_Energy,Log_Tourism,Tourism_Per_Capita,Energy_Per_Capita,Total_Human_Load,Log_Human_Load,Log_Energy_Per_Capita,Cluster,Cluster_Name,Macro_Cluster,Macro_Cluster_Name,Land_Area_KM2,Population_Density,Tourist_Spatial_Density,Energy_Density_MWh_KM2,Renewable_Energy_Density_MWh_KM2,Log_Population_Density,Log_Tourist_Spatial_Density
Cook Islands,2000,15482,9.28,24.8,73000,4.189827063120662,1.3944516808262164,4.863322860120456,4.715153080997287,0.0016018602247771,88482,4.94685493063272,-2.795375382294446,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,65.60169491525424,309.3220338983051,105.08474576271186,9.751864406779662,4.1987300264005105,5.737610577306885
Cook Islands,2001,14883,9.9,25.9,75000,4.172690481755848,1.413299764081252,4.8750612633917,5.0393065914130215,0.0017402405429012,89883,4.953677559315655,-2.759390717674596,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,63.063559322033896,317.79661016949154,109.7457627118644,10.864830508474576,4.159875704954591,5.764553313765085
Cook Islands,2002,14625,12.25,27.8,73000,4.165095874754218,1.4440447959180762,4.863322860120456,4.991452991452992,0.0019008547008547,87625,4.942628030974715,-2.7210510788361417,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,61.970338983050844,309.3220338983051,117.79661016949153,14.430084745762711,4.142663805732959,5.737610577306885
Cook Islands,2003,14680,11.07,29.2,78000,4.166726055580051,1.4653828514484184,4.892094602690481,5.313351498637602,0.0019891008174386,92680,4.966986025117938,-2.701343204131633,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,62.20338983050848,330.50847457627117,123.72881355932203,13.696779661016949,4.146357936273102,5.803653373631798
Cook Islands,2004,14729,10.4,29.8,83000,4.168173262170234,1.4742162640762553,4.919078092376074,5.635141557471655,0.0020232194989476,97729,4.990023454928037,-2.693956998093979,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,62.41101694915254,351.6949152542373,126.27118644067797,13.13220338983051,4.149637615261189,5.86560342050706
Cook Islands,2005,14781,9.42,30.4,88000,4.169703816994572,1.4828735836087537,4.944482672150168,5.953589067045532,0.0020566944049793,102781,5.011912838805169,-2.686830233385818,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,62.63135593220339,372.8813559322034,128.8135593220339,12.134237288135592,4.15310636665467,5.9239385169586125
Cook Islands,2006,14855,8.42,32.2,92000,4.171872656139683,1.507855871695831,4.963787827345556,6.193200942443622,0.0021676203298552,106855,5.028794848648937,-2.664016784443852,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,62.94491525423729,389.8305084745763,136.4406779661017,11.488305084745763,4.15802201359294,5.968273983842604
Cook Islands,2007,15139,8.71,33.8,97000,4.180097188980094,1.5289167002776547,4.986771734266245,6.407292423541845,0.0022326441640795,112139,5.049756678956891,-2.6511804887024395,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,64.14830508474576,411.0169491525424,143.22033898305085,12.474491525423732,4.176666287649108,6.021064487223115
Cook Islands,2008,15605,8.42,33.6,95000,4.193263773001352,1.526339277389844,4.977723605288848,6.087792374239026,0.0021531560397308,110605,5.043774760090986,-2.6669244956115072,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,66.12288135593221,402.54237288135596,142.3728813559322,11.987796610169491,4.206524989663241,6.000281495533183
Cook Islands,2009,16093,9.01,32.7,101000,4.206637011283536,1.5145477526602862,5.004321373782642,6.276020630087616,0.0020319393525135,117093,5.068530933054931,-2.6920892586232497,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,68.19067796610169,427.96610169491527,138.55932203389833,12.484194915254237,4.2368661420767,6.061377898777837
Cook Islands,2010,16578,7.25,33.8,104000,4.219532135300155,1.5289167002776547,5.017033339298781,6.273374351550247,0.0020388466642538,120578,5.081268076044782,-2.6906154350225004,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,70.2457627118644,440.6779661016949,143.22033898305085,10.383474576271185,4.266135346669632,6.0905810330514365
Cook Islands,2011,17044,6.52,33.7,113000,4.231571525528415,1.5276299008713388,5.05307844348342,6.629899084721896,0.0019772353907533,130044,5.114090319415373,-2.703941624657077,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,72.22033898305085,478.8135593220339,142.79661016949152,9.310338983050846,4.293473237332437,6.173397610368999
Cook Islands,2012,17245,6.17,33.0,122000,4.236663198703409,1.5185139398778875,5.086359830674748,7.074514351986083,0.0019135981443896,139245,5.143779609508994,-2.718149258825522,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,73.07203389830508,516.9491525423729,139.83050847457628,8.627542372881356,4.305038050785574,6.249877076326255
Cook Islands,2013,17193,6.32,32.6,121000,4.235351663177412,1.513217600067939,5.08278537031645,7.037747920665387,0.0018961205141627,138193,5.1404860449313245,-2.722134063109473,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,72.85169491525424,512.7118644067797,138.135593220339,8.730169491525425,4.302058959496072,6.241662533190122
Cook Islands,2014,17117,6.26,32.6,122000,4.233427650667445,1.513217600067939,5.086359830674748,7.127417187591283,0.0019045393468481,139117,5.143380203716524,-2.7202100505995066,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,72.52966101694915,516.9491525423729,138.135593220339,8.647288135593222,4.2976888760648935,6.249877076326255
Cook Islands,2015,17035,7.18,32.8,125000,4.231342137903896,1.515873843711679,5.096910013008056,7.33783387144115,0.0019254476078661,142035,5.152395375607684,-2.715468294192217,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,72.1822033898305,529.6610169491526,138.98305084745763,9.978983050847457,4.2929522683183095,6.2741234312269425
Cook Islands,2016,16923,7.74,34.3,146000,4.228477354445056,1.5352941200427703,5.164352855784437,8.62731194232701,0.0020268273946699,162923,5.211982398415251,-2.693183234402285,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,71.70762711864407,618.6440677966102,145.33898305084745,11.249237288135593,4.286446291260011,6.429145228990693
Cook Islands,2017,16647,8.0,36.6,161000,4.221335979533828,1.5634810853944108,5.20682587603185,9.67141226647444,0.0021985943413227,177647,5.249557877772733,-2.6578548941394176,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,70.53813559322033,682.2033898305085,155.08474576271186,12.406779661016952,4.270230672451583,6.52679260415776
Cook Islands,2018,16201,9.39,42.0,169000,4.2095418220166,1.6232492903979006,5.227886704613674,10.431454848466144,0.0025924325658909,185201,5.267643327342187,-2.5862925316187,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,68.64830508474576,716.1016949152543,177.96610169491527,16.711016949152544,4.243458365180915,6.57521766445463
Cook Islands,2019,15754,9.02,39.1,172000,4.197390841133298,1.5921767573958667,5.235528446907549,10.917862130252637,0.0024819093563539,187754,5.273589198189775,-2.605214083737431,4,High Tourism / Low Renewable,B,Tourism Peaked Grids,236,66.7542372881356,728.8135593220339,165.67796610169492,14.944152542372882,4.21588700080239,6.592789103333771
Fiji,2000,822572,50.06,673.4,434000,5.915173922225848,2.8282731120520697,5.63748972951251,0.5276133882505118,0.0008186517411241,1256572,6.099187378170805,-3.0869008101737783,1,Highest Renewable,A,Population Driven Grids,18274,45.013242858706356,23.749589580825216,36.850169639925575,18.447194921746743,3.828929243289976,3.208808906284286
Fiji,2001,831045,40.44,706.7,446000,5.9196245408991,2.849235091314722,5.649334858712142,0.5366737059966669,0.0008503751301072,1277045,6.106206201027983,-3.070389449584377,1,Highest Renewable,A,Population Driven Grids,18274,45.47690708109883,24.40626026047937,38.67243077596585,15.639131005800593,3.8389555673239526,3.2349956106045092
Fiji,2002,839355,48.98,767.4,461000,5.923945681845261,2.8850217948622974,5.663700925389648,0.5492312549517189,0.0009142734599781,1300355,6.114061931917723,-3.038923886982964,1,Highest Renewable,A,Population Driven Grids,18274,45.93165152675933,25.22709861004706,41.99408996388311,20.568705264309948,3.848692320466892,3.266793174342713
Fiji,2003,847413,40.83,777.9,451000,5.928095122144271,2.890923771489014,5.654176541877961,0.5322080260746531,0.0009179703403181,1298413,6.113412855092976,-3.0371713506552567,1,Highest Renewable,A,Population Driven Grids,18274,46.37260588814709,24.6798730436686,42.5686768085805,17.380790740943414,3.8580441267830956,3.2457075350271647
Fiji,2004,855294,35.72,809.1,513000,5.932115425406848,2.908002201172553,5.710117365111817,0.599793755129815,0.0009459905015117,1368294,6.136179422573694,-3.0241132242342945,1,Highest Renewable,A,Population Driven Grids,18274,46.80387435700996,28.07267155521506,44.276020575681294,15.815394549633357,3.8671066897066857,3.36979861111236
Fiji,2005,863163,40.02,841.9,547000,5.936092815780245,2.9252605095194357,5.737987326333431,0.6337157639982252,0.0009753661822853,1410163,6.1492693154277935,-3.0108323062608093,1,Highest Renewable,A,Population Driven Grids,18274,47.23448615519317,29.933238480901828,46.07092043340265,18.437582357447745,3.8760742456206754,3.4318312847691876
Fiji,2006,870931,39.07,902.7,549000,5.939983749145127,2.955543442459743,5.739572344450092,0.6303599251835105,0.0010364770573099,1419931,6.152267240828599,-2.984440306685384,1,Highest Renewable,A,Population Driven Grids,18274,47.65957097515596,30.04268359417752,49.39805187698369,19.29981886833753,3.8848485205297423,3.4353631475759006
Fiji,2007,878247,36.04,909.2,542000,5.943616674962018,2.9586594270529334,5.733999286538387,0.6171384587707103,0.0010352440714286,1420247,6.1523638805862815,-2.984957247909085,1,Highest Renewable,A,Population Driven Grids,18274,48.05992119951844,29.659625697712595,49.75374849512969,17.931250957644743,3.8930424326227433,3.4229466652058274
Fiji,2008,883692,42.13,914.6,627000,5.94630092337462,2.961231197044663,5.797267540830717,0.7095232275498703,0.0010349759871086,1510692,6.179175929371935,-2.9850697263299573,1,Highest Renewable,A,Population Driven Grids,18274,48.357885520411514,34.31104301192952,50.04925030097406,21.085749151800375,3.8990975407624537,3.564195748216285
Fiji,2009,887404,41.62,905.0,605000,5.94812138198028,2.9566485792052037,5.781755374652469,0.6817638865725194,0.0010198286237159,1492404,6.173886404383532,-2.9914728027750765,1,Highest Renewable,A,Population Driven Grids,18274,48.5610156506512,33.1071467658969,49.52391375725074,20.611852905767755,3.9032045499055,3.5295069449077325
Fiji,2010,890510,27.95,957.8,692000,5.949638800745286,2.981274832706589,5.8401060944567575,0.7770827952521588,0.0010755634411741,1582510,6.199346463037638,-2.9683639680386973,1,Highest Renewable,A,Population Driven Grids,18274,48.73098391156835,37.86800919338952,52.413264747729016,14.649507496990259,3.9066281576016744,3.660171526505659
Fiji,2011,893003,33.38,931.2,734000,5.950852917882116,2.969042967305813,5.86569605991607,0.8219457269460461,0.0010427736524961,1627003,6.211388353724963,-2.9818099505763023,1,Highest Renewable,A,Population Driven Grids,18274,48.8674072452665,40.166356572179055,50.957644741162305,17.00966181459998,3.9093676279371197,3.7176213347119336
Fiji,2012,894878,33.26,920.7,741000,5.951763831362487,2.964118143151485,5.869818207979328,0.8280458341807486,0.0010288553300002,1635878,6.213750911864367,-2.987645688211002,1,Highest Renewable,A,Population Driven Grids,18274,48.97001203896246,40.549414468643974,50.383057896464926,16.757405056364234,3.911423066279888,3.7268834289914263
Fiji,2013,896310,32.81,969.3,768500,5.952458241810283,2.9864582127373067,5.885643871835764,0.8574042462987136,0.0010814338789035,1664810,6.221364675884359,-2.9660000290729767,1,Highest Renewable,A,Population Driven Grids,18274,49.04837474006786,42.054284776184744,53.042574149064244,17.40326857830798,3.912990032508062,3.7624617561459006
Fiji,2014,897475,33.17,995.0,780600,5.953022359742539,2.9978230807457256,5.89242854694523,0.8697735312961364,0.0011086659795537,1678075,6.224811367314041,-2.9551992789968127,1,Highest Renewable,A,Population Driven Grids,18274,49.112126518550944,42.71642771150268,54.44894385465689,18.06071467658969,3.914263025080807,3.7777239516329457
Fiji,2015,898463,28.55,1019.3,869000,5.953500196941158,3.0083020242120013,5.939019776448666,0.9672073307414996,0.0011344930175199,1767463,6.247350331060721,-2.945198172729156,1,Highest Renewable,A,Population Driven Grids,18274,49.16619240450914,47.55390171828828,55.77870198095655,15.924819415563096,3.9153413417454193,3.8826745564575393
Fiji,2016,899002,24.64,1030.5,963000,5.953760657904527,3.013047996115232,5.983626287124535,1.0711878282806937,0.0011462710872723,1862002,6.269980143126794,-2.940712661789296,1,Highest Renewable,A,Population Driven Grids,18274,49.195687862536936,52.69782204224581,56.39159461530043,13.894888913210027,3.915929123855489,3.983372442819809
Fiji,2017,898642,26.03,1112.6,1027000,5.95358671243415,3.0463390556048093,6.011570443597278,1.142835522933493,0.0012380903630144,1925642,6.284575549727152,-2.907247656829341,1,Highest Renewable,A,Population Driven Grids,18274,49.17598774214731,56.20006566706797,60.88431651526759,15.848187588924157,3.915536580430785,4.046555046410757
Fiji,2018,897114,24.41,1140.3,1058000,5.952847634153468,3.0570191243227662,6.024485667699167,1.1793372971550995,0.0012710759167731,1955114,6.291172085582265,-2.895828509830702,1,Highest Renewable,A,Population Driven Grids,18274,49.09237167560468,57.8964649228412,62.40013133413593,15.231872058662583,3.913868734533811,4.075781070568446
Fiji,2019,894872,24.78,1227.8,969000,5.951760919484413,3.0891276290442784,5.986323777050766,1.082836428003111,0.0013720398001054,1863872,6.270416084196916,-2.8626332904401344,1,Highest Renewable,A,Population Driven Grids,18274,48.969683703622636,53.02615738207289,67.18835503994747,16.649274378898983,3.9114164956106983,3.9894683252467344
French Polynesia,2000,240155,8.48,536.1,252000,5.380491633031214,2.7292458072253067,5.401400540781544,1.0493223126730653,0.002232308300889,492155,5.692101901635936,-2.6512458258059075,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,62.752808988764045,65.847922654821,140.0836164097204,11.87909067154429,4.155013245636657,4.202420228342924
French Polynesia,2001,243901,6.37,566.9,228000,5.387213580935263,2.75350645699097,5.357934847000454,0.9348055153525404,0.0023243037133919,471901,5.673850897652383,-2.6337071239442924,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,63.73164358505357,59.576691925790435,148.13169584530965,9.435989025346224,4.170250163630916,4.10391019740275
French Polynesia,2002,247584,5.87,590.7,189000,5.393722575177506,2.771366970857781,5.276461804173244,0.7633772780147344,0.0023858569212873,436584,5.640067815571385,-2.622355604319725,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,64.69401620067939,49.38594199111576,154.35066631826496,9.060384112882154,4.185007843727517,3.919712207421761
French Polynesia,2003,251446,6.79,617.2,213000,5.400444731260405,2.7904259173911106,5.328379603438738,0.8471003714515244,0.0024546025786848,464446,5.666935226908095,-2.610018813869295,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,65.70316174549255,55.65717272014633,161.27515024823623,10.95058270185524,4.200252354279264,4.0370185941130075
French Polynesia,2004,255444,7.54,646.7,212000,5.407295706206014,2.8107028609471167,5.326335860928752,0.8299274987864268,0.0025316703465338,467444,5.669729589651892,-2.596592845258897,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,66.74784426443689,55.395871439770055,168.9835380193363,12.741358766657957,4.215792640278475,4.0323959544021415
French Polynesia,2005,259276,7.58,660.7,208000,5.413762317965037,2.820004306808318,5.318063334962762,0.8022339128959102,0.0025482497415881,467276,5.669573475577634,-2.593758011156719,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,67.74915077083878,54.350666318264956,172.64175594460414,13.086245100600994,4.2304643840462255,4.013688697352556
French Polynesia,2006,262984,9.49,667.0,222000,5.419929326728972,2.824125833916549,5.346352974450639,0.8441578194871171,0.0025362759711617,484984,5.685727411125293,-2.595803492812423,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,68.71805591847401,58.00888424353279,174.28795401097466,16.539926835641495,4.244459336133303,4.07768801296849
French Polynesia,2007,266192,9.21,694.5,243000,5.425194999267646,2.841672250073634,5.385606273598312,0.9128749173528882,0.0026090190539159,509192,5.706881571762552,-2.583522749194012,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,69.55631042592108,63.49621113143454,181.47373922132218,16.713731382283775,4.256411120449301,4.166606479928038
French Polynesia,2008,268135,8.78,692.1,227000,5.428353506689951,2.840168849240756,5.3560258571931225,0.8465884722248121,0.0025811624741268,495135,5.694723626734668,-2.588184657449195,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,70.06401881369219,59.31539064541416,180.84661614841912,15.878332897831196,4.2635811442103035,4.099587305750317
French Polynesia,2009,269234,8.76,711.5,190000,5.430129903545953,2.8521749044203037,5.278753600952829,0.7057058172444788,0.0026426825735234,459234,5.6620340341498485,-2.5779549991256494,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,70.3511889208257,49.64724327149203,185.91586098771884,16.28622942252417,4.267614007005118,3.924884802194575
French Polynesia,2010,270338,7.37,706.7,179000,5.4319070964955225,2.849235091314722,5.252853030979893,0.6621340692022579,0.0026141348977946,449338,5.652573147933032,-2.5826720051808003,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,70.63966553436111,46.77292918735302,184.66161484191272,13.60956101384897,4.271648908482019,3.8664591440765603
