Cluster,Year,Renewable_Share_mean,Renewable_Share_median,Energy_Generation_mean,Energy_Generation_median,Tourism_Aggregated_Arrivals_mean,Tourism_Aggregated_Arrivals_median,Calculated_Population_mean,Calculated_Population_median,Total_Human_Load_mean,Total_Human_Load_median,Tourist_Spatial_Density_mean,Tourist_Spatial_Density_median,Energy_Density_MWh_KM2_mean,Energy_Density_MWh_KM2_median
0,2000,0.21333333333333335,0.04,36.06666666666667,4.4,20333.333333333332,1900.0,7351.666666666667,1771.0,27685.0,3671.0,58.659013462935036,42.30769230769231,133.4034411485392,169.23076923076923
0,2001,0.20333333333333334,0.03,37.03333333333334,4.7,18833.333333333332,1400.0,7395.0,1725.0,26228.333333333332,3125.0,55.1131221719457,42.30769230769231,139.19334115412548,180.76923076923077
0,2002,0.21666666666666667,0.02,36.9,5.0,20800.0,2100.0,7434.333333333333,1685.0,28234.333333333332,3785.0,62.20574269593877,50.0,142.53114351153567,192.30769230769232
0,2003,0.24666666666666667,0.03,37.53333333333333,5.1,22366.666666666668,2700.0,7478.333333333333,1654.0,29845.0,4354.0,67.16189039718451,53.84615384615385,145.34271828389475,196.15384615384616
0,2004,0.405,0.405,4.05,4.05,1950.0,1950.0,1306.5,1306.5,3256.5,3256.5,30.0,30.0,103.84615384615385,103.84615384615385
0,2005,0.425,0.425,4.1,4.1,1950.0,1950.0,1295.5,1295.5,3245.5,3245.5,26.53846153846154,26.53846153846154,105.76923076923077,105.76923076923077
0,2006,0.405,0.405,4.15,4.15,2050.0,2050.0,1290.0,1290.0,3340.0,3340.0,26.923076923076923,26.923076923076923,107.6923076923077,107.6923076923077
0,2007,0.49,0.49,4.15,4.15,2300.0,2300.0,1289.5,1289.5,3589.5,3589.5,27.884615384615383,27.884615384615383,107.6923076923077,107.6923076923077
0,2008,0.385,0.385,4.2,4.2,3200.0,3200.0,1293.5,1293.5,4493.5,4493.5,41.73076923076923,41.73076923076923,109.61538461538461,109.61538461538461
0,2009,0.56,0.56,4.3,4.3,3150.0,3150.0,1299.5,1299.5,4449.5,4449.5,39.80769230769231,39.80769230769231,111.73076923076924,111.73076923076924
0,2010,0.9149999999999999,0.9149999999999999,4.8,4.8,3950.0,3950.0,1303.0,1303.0,5253.0,5253.0,44.61538461538461,44.61538461538461,130.96153846153845,130.96153846153845
0,2011,0.74,0.74,4.949999999999999,4.949999999999999,3650.0,3650.0,1306.5,1306.5,4956.5,4956.5,34.80769230769231,34.80769230769231,133.26923076923077,133.26923076923077
0,2012,0.73,0.73,4.699999999999999,4.699999999999999,3050.0,3050.0,1314.0,1314.0,4364.0,4364.0,30.769230769230766,30.769230769230766,123.65384615384615,123.65384615384615
